#K-Path      Energy-Level
# NKPTS & NBANDS: 180 240
# Band-Index    1
   0.00000    -16.444176
   0.02165    -16.584690
   0.04329    -16.724778
   0.06494    -16.862972
   0.08658    -16.999235
   0.10823    -17.133501
   0.12987    -17.265736
   0.15152    -17.395893
   0.17316    -17.523932
   0.19481    -17.649830
   0.21645    -17.773550
   0.23810    -17.895060
   0.25974    -18.014334
   0.28139    -18.131353
   0.30303    -18.246084
   0.32468    -18.358513
   0.34632    -18.468607
   0.36797    -18.576382
   0.38961    -18.681790
   0.41126    -18.784822
   0.43291    -18.885465
   0.45455    -18.983699
   0.47620    -19.079522
   0.49784    -19.172910
   0.51949    -19.263852
   0.54113    -19.352342
   0.56278    -19.438366
   0.58442    -19.521915
   0.60607    -19.602978
   0.62771    -19.681535
   0.64936    -19.757594
   0.67100    -19.831144
   0.69265    -19.902164
   0.71429    -19.970663
   0.73594    -20.036621
   0.75758    -20.100042
   0.77923    -20.160913
   0.80087    -20.219242
   0.82252    -20.275011
   0.84417    -20.328216
   0.86581    -20.378849
   0.88746    -20.426915
   0.90910    -20.472402
   0.93075    -20.515314
   0.95239    -20.555634
   0.97404    -20.593373
   0.99568    -20.628522
   1.01733    -20.661073
   1.03897    -20.691031
   1.06062    -20.718388
   1.08226    -20.743156
   1.10391    -20.765319
   1.12555    -20.784874
   1.14720    -20.801834
   1.16884    -20.816172
   1.19049    -20.827921
   1.21213    -20.837053
   1.23378    -20.843581
   1.25542    -20.847497
   1.27707    -20.848806
   1.27707    -20.848806
   1.28060    -20.848805
   1.28413    -20.848804
   1.28766    -20.848802
   1.29119    -20.848801
   1.29472    -20.848801
   1.29825    -20.848799
   1.30178    -20.848800
   1.30531    -20.848802
   1.30884    -20.848802
   1.31237    -20.848802
   1.31590    -20.848800
   1.31943    -20.848802
   1.32296    -20.848800
   1.32649    -20.848799
   1.33002    -20.848799
   1.33355    -20.848800
   1.33708    -20.848802
   1.34061    -20.848801
   1.34414    -20.848802
   1.34767    -20.848803
   1.35120    -20.848805
   1.35473    -20.848806
   1.35826    -20.848806
   1.36179    -20.848806
   1.36532    -20.848805
   1.36885    -20.848807
   1.37238    -20.848806
   1.37591    -20.848806
   1.37943    -20.848806
   1.38296    -20.848804
   1.38649    -20.848804
   1.39002    -20.848804
   1.39355    -20.848805
   1.39708    -20.848806
   1.40061    -20.848808
   1.40414    -20.848806
   1.40767    -20.848807
   1.41120    -20.848805
   1.41473    -20.848806
   1.41826    -20.848804
   1.42179    -20.848804
   1.42532    -20.848805
   1.42885    -20.848805
   1.43238    -20.848806
   1.43591    -20.848808
   1.43944    -20.848807
   1.44297    -20.848803
   1.44650    -20.848801
   1.45003    -20.848799
   1.45356    -20.848798
   1.45709    -20.848798
   1.46062    -20.848798
   1.46415    -20.848798
   1.46768    -20.848799
   1.47121    -20.848799
   1.47474    -20.848799
   1.47827    -20.848800
   1.48180    -20.848802
   1.48533    -20.848802
   1.48533    -20.848806
   1.48886    -20.848805
   1.49239    -20.848804
   1.49592    -20.848801
   1.49945    -20.848799
   1.50298    -20.848799
   1.50651    -20.848797
   1.51004    -20.848798
   1.51357    -20.848799
   1.51710    -20.848799
   1.52063    -20.848799
   1.52416    -20.848800
   1.52769    -20.848802
   1.53122    -20.848802
   1.53475    -20.848800
   1.53828    -20.848800
   1.54181    -20.848800
   1.54534    -20.848801
   1.54887    -20.848802
   1.55240    -20.848802
   1.55593    -20.848803
   1.55946    -20.848803
   1.56299    -20.848805
   1.56652    -20.848804
   1.57005    -20.848804
   1.57358    -20.848804
   1.57710    -20.848805
   1.58063    -20.848803
   1.58416    -20.848802
   1.58769    -20.848802
   1.59122    -20.848803
   1.59475    -20.848802
   1.59828    -20.848802
   1.60181    -20.848801
   1.60534    -20.848801
   1.60887    -20.848801
   1.61240    -20.848798
   1.61593    -20.848797
   1.61946    -20.848797
   1.62299    -20.848798
   1.62652    -20.848797
   1.63005    -20.848798
   1.63358    -20.848799
   1.63711    -20.848802
   1.64064    -20.848802
   1.64417    -20.848804
   1.64770    -20.848803
   1.65123    -20.848801
   1.65476    -20.848801
   1.65829    -20.848799
   1.66182    -20.848798
   1.66535    -20.848798
   1.66888    -20.848798
   1.67241    -20.848798
   1.67594    -20.848798
   1.67947    -20.848798
   1.68300    -20.848798
   1.68653    -20.848798
   1.69006    -20.848800
   1.69359    -20.848799
 
 
# Band-Index    2
   1.69359    -19.816655
   1.69006    -19.816654
   1.68653    -19.816653
   1.68300    -19.816654
   1.67947    -19.816654
   1.67594    -19.816655
   1.67241    -19.816655
   1.66888    -19.816655
   1.66535    -19.816655
   1.66182    -19.816655
   1.65829    -19.816657
   1.65476    -19.816661
   1.65123    -19.816661
   1.64770    -19.816662
   1.64417    -19.816663
   1.64064    -19.816662
   1.63711    -19.816662
   1.63358    -19.816660
   1.63005    -19.816660
   1.62652    -19.816658
   1.62299    -19.816659
   1.61946    -19.816659
   1.61593    -19.816659
   1.61240    -19.816659
   1.60887    -19.816661
   1.60534    -19.816661
   1.60181    -19.816660
   1.59828    -19.816660
   1.59475    -19.816660
   1.59122    -19.816660
   1.58769    -19.816658
   1.58416    -19.816658
   1.58063    -19.816659
   1.57710    -19.816661
   1.57358    -19.816659
   1.57005    -19.816661
   1.56652    -19.816660
   1.56299    -19.816661
   1.55946    -19.816661
   1.55593    -19.816661
   1.55240    -19.816662
   1.54887    -19.816663
   1.54534    -19.816662
   1.54181    -19.816660
   1.53828    -19.816660
   1.53475    -19.816660
   1.53122    -19.816662
   1.52769    -19.816664
   1.52416    -19.816662
   1.52063    -19.816662
   1.51710    -19.816662
   1.51357    -19.816662
   1.51004    -19.816660
   1.50651    -19.816660
   1.50298    -19.816659
   1.49945    -19.816660
   1.49592    -19.816664
   1.49239    -19.816665
   1.48886    -19.816667
   1.48533    -19.816669
   1.48533    -19.816667
   1.48180    -19.816667
   1.47827    -19.816666
   1.47474    -19.816666
   1.47121    -19.816667
   1.46768    -19.816668
   1.46415    -19.816668
   1.46062    -19.816668
   1.45709    -19.816667
   1.45356    -19.816667
   1.45003    -19.816669
   1.44650    -19.816671
   1.44297    -19.816671
   1.43944    -19.816673
   1.43591    -19.816673
   1.43238    -19.816672
   1.42885    -19.816672
   1.42532    -19.816670
   1.42179    -19.816671
   1.41826    -19.816671
   1.41473    -19.816670
   1.41120    -19.816670
   1.40767    -19.816670
   1.40414    -19.816669
   1.40061    -19.816671
   1.39708    -19.816673
   1.39355    -19.816671
   1.39002    -19.816671
   1.38649    -19.816671
   1.38296    -19.816670
   1.37943    -19.816670
   1.37591    -19.816670
   1.37238    -19.816674
   1.36885    -19.816673
   1.36532    -19.816673
   1.36179    -19.816674
   1.35826    -19.816674
   1.35473    -19.816674
   1.35120    -19.816674
   1.34767    -19.816672
   1.34414    -19.816671
   1.34061    -19.816671
   1.33708    -19.816671
   1.33355    -19.816667
   1.33002    -19.816668
   1.32649    -19.816666
   1.32296    -19.816666
   1.31943    -19.816667
   1.31590    -19.816666
   1.31237    -19.816667
   1.30884    -19.816667
   1.30531    -19.816667
   1.30178    -19.816665
   1.29825    -19.816664
   1.29472    -19.816663
   1.29119    -19.816664
   1.28766    -19.816665
   1.28413    -19.816667
   1.28060    -19.816667
   1.27707    -19.816669
   1.27707    -19.816669
   1.25542    -19.815390
   1.23378    -19.811563
   1.21213    -19.805182
   1.19049    -19.796258
   1.16884    -19.784790
   1.14720    -19.770775
   1.12555    -19.754208
   1.10391    -19.735101
   1.08226    -19.713450
   1.06062    -19.689256
   1.03897    -19.662534
   1.01733    -19.633265
   0.99568    -19.601464
   0.97404    -19.567135
   0.95239    -19.530270
   0.93075    -19.490885
   0.90910    -19.448977
   0.88746    -19.404551
   0.86581    -19.357610
   0.84417    -19.308161
   0.82252    -19.256208
   0.80087    -19.201756
   0.77923    -19.144809
   0.75758    -19.085393
   0.73594    -19.023482
   0.71429    -18.959102
   0.69265    -18.892250
   0.67100    -18.822950
   0.64936    -18.751185
   0.62771    -18.676979
   0.60607    -18.600357
   0.58442    -18.521297
   0.56278    -18.439830
   0.54113    -18.355973
   0.51949    -18.269729
   0.49784    -18.181116
   0.47620    -18.090155
   0.45455    -17.996849
   0.43291    -17.901239
   0.41126    -17.803326
   0.38961    -17.703128
   0.36797    -17.600676
   0.34632    -17.495992
   0.32468    -17.389125
   0.30303    -17.280082
   0.28139    -17.168925
   0.25974    -17.055680
   0.23810    -16.940421
   0.21645    -16.823179
   0.19481    -16.704025
   0.17316    -16.583052
   0.15152    -16.460370
   0.12987    -16.336063
   0.10823    -16.210273
   0.08658    -16.083193
   0.06494    -16.006659
   0.04329    -16.153662
   0.02165    -16.299056
   0.00000    -16.441342
 
 
# Band-Index    3
   0.00000    -15.569110
   0.02165    -15.696898
   0.04329    -15.826161
   0.06494    -15.955056
